InputStoryid,premise,hypothesis,label,ending_id,premise_len,hypothesis_len
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.",He is happy now.,1,1,37,4
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.",He joined a gang.,0,2,37,4
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies to make sure it is delicious.,The brownies are so delicious Laverne eats two of them.,1,1,37,10
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies to make sure it is delicious.,Laverne doesn't go to her friend's party.,0,2,37,7
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She didn't like how different everything was.,Sarah then decided to move to Europe.,0,1,34,7
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah had been dreaming of visiting Europe for years. She had finally saved enough for the trip. She landed in Spain and traveled east across the continent. She didn't like how different everything was.,Sarah decided that she preferred her home over Europe.,1,2,34,9
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina was worried the cookie dough in the tube would be gross. She was very happy to find she was wrong. The cookies from the tube were as good as from scratch. Gina intended to only eat 2 cookies and save the rest.,Gina liked the cookies so much she ate them all in one sitting.,1,1,43,13
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina was worried the cookie dough in the tube would be gross. She was very happy to find she was wrong. The cookies from the tube were as good as from scratch. Gina intended to only eat 2 cookies and save the rest.,Gina gave the cookies away at her church.,0,2,43,8
69ac9b05-b956-402f-9fff-1f926ef9176b,It was  my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was flawless.,I was very proud of my performance.,1,1,27,7
69ac9b05-b956-402f-9fff-1f926ef9176b,It was  my final performance in marching band. I was playing the snare drum in the band. We played Thriller and Radar Love. The performance was flawless.,I was very ashamed of my performance.,0,2,27,7
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. The gravity of the situation began to dawn on Jim.,Jim took time to decide what he would take a picture of.,1,1,39,12
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim found an old disposable camera in the bottom of his junk drawer. He began snapping away at everything around him. The counter clicked down to one final photo. The gravity of the situation began to dawn on Jim.,Jim took 20 more photos.,0,2,39,5
58090d3f-8a91-4c89-83ef-2b4994de9d24,"Ron started his new job as a landscaper today. He loves the outdoors and has always enjoyed working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is ecstatic, but does a thorough job and finishes super early.",Ron is immediately fired for insubordination.,0,1,45,6
58090d3f-8a91-4c89-83ef-2b4994de9d24,"Ron started his new job as a landscaper today. He loves the outdoors and has always enjoyed working in it. His boss tells him to re-sod the front yard of the mayor's home. Ron is ecstatic, but does a thorough job and finishes super early.",His boss commends him for a job well done.,1,2,45,9
e17053ac-2046-48c8-a7a2-7b9509c10e64,John and Billy became very skilled at beer pong. They entered a contest in college. They won the contest and advanced to the next level. The next level sent them to Vegas.,"In Vegas, John and Billy competed against eighty contestants.",1,1,32,9
e17053ac-2046-48c8-a7a2-7b9509c10e64,John and Billy became very skilled at beer pong. They entered a contest in college. They won the contest and advanced to the next level. The next level sent them to Vegas.,John and Billy were disappointed.,0,2,32,5
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard.,But she gave up.,0,1,34,4
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline was a student in medical school. Caroline worked very hard to get good grades. One day Caroline failed a test by one point. Caroline was very frustrated but she continued to study hard.,"Later, she passed the test.",1,2,34,5
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish hated the outdoors. Her friends convinced her to go camping. She wasn't having a good time. They showed her how to fish and showed her the stars.,Eventually Trish grudgingly came to accept nature.,1,1,28,7
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish hated the outdoors. Her friends convinced her to go camping. She wasn't having a good time. They showed her how to fish and showed her the stars.,The fish had very interesting mating habits.,0,2,28,7
a7905e16-15be-433f-bdef-b488a83e4582,Tony was happy to be going on his first cruise. He arrived at the docks and was ready with all his luggage. When he walked around the corner he couldn't believe the size of it. He boarded and the ship left the docks.,Tony enjoyed going on the cruise.,1,1,43,6
a7905e16-15be-433f-bdef-b488a83e4582,Tony was happy to be going on his first cruise. He arrived at the docks and was ready with all his luggage. When he walked around the corner he couldn't believe the size of it. He boarded and the ship left the docks.,Tony was scared of the ocean.,0,2,43,6
