InputStoryid,premise,hypothesis,label,ending_id,text
e56d5c8d-221c-4388-9a15-c38af332120c,I was taking a hike last Wednesday. While walking I stumbled across something that scared me. Their in front me was a 4 foot snake with beady eyes. I screamed and ran all the way back to the main road.,I am a biologist who studies snakes.,0,1,I was taking a hike last Wednesday. While walking I stumbled across something that scared me. Their in front me was a 4 foot snake with beady eyes. I screamed and ran all the way back to the main road. [SEP] I am a biologist who studies snakes.
e56d5c8d-221c-4388-9a15-c38af332120c,I was taking a hike last Wednesday. While walking I stumbled across something that scared me. Their in front me was a 4 foot snake with beady eyes. I screamed and ran all the way back to the main road.,I followed the road back to my car.,1,2,I was taking a hike last Wednesday. While walking I stumbled across something that scared me. Their in front me was a 4 foot snake with beady eyes. I screamed and ran all the way back to the main road. [SEP] I followed the road back to my car.
327df8b3-9758-405f-a0af-1e38ffce0cb2,"My friend went out one night looking to find love. He ended up getting pretty drunk. The next thing we knew he was flirting with a gay man. After a while, we lost track of our friend.",Our friend ended up home at three am with a girl.,1,1,"My friend went out one night looking to find love. He ended up getting pretty drunk. The next thing we knew he was flirting with a gay man. After a while, we lost track of our friend. [SEP] Our friend ended up home at three am with a girl."
327df8b3-9758-405f-a0af-1e38ffce0cb2,"My friend went out one night looking to find love. He ended up getting pretty drunk. The next thing we knew he was flirting with a gay man. After a while, we lost track of our friend.",We found out our friend had gone skiing.,0,2,"My friend went out one night looking to find love. He ended up getting pretty drunk. The next thing we knew he was flirting with a gay man. After a while, we lost track of our friend. [SEP] We found out our friend had gone skiing."
285843c5-b7d9-4ae0-aa25-924a1b3b0dc9,"Julie had a pretty pink ball that she loved to bounce outside. One day, it bounced too far and went into the street. It rolled down the hill and over the curb. It then rolled into the creek.",She continued playing with the ball all afternoon.,0,1,"Julie had a pretty pink ball that she loved to bounce outside. One day, it bounced too far and went into the street. It rolled down the hill and over the curb. It then rolled into the creek. [SEP] She continued playing with the ball all afternoon."
285843c5-b7d9-4ae0-aa25-924a1b3b0dc9,"Julie had a pretty pink ball that she loved to bounce outside. One day, it bounced too far and went into the street. It rolled down the hill and over the curb. It then rolled into the creek.",Next time she got a ball she was more careful with it.,1,2,"Julie had a pretty pink ball that she loved to bounce outside. One day, it bounced too far and went into the street. It rolled down the hill and over the curb. It then rolled into the creek. [SEP] Next time she got a ball she was more careful with it."
06d18564-6dcd-4154-aa35-a9f326c2db72,"My favorite movie is the Wizard of Oz. I used to think it was real when I was young. Whenever I watched it, I felt immersed in the movie. The characters took me away into the Land of Oz.","One day, I decided to buy the movie.",1,1,"My favorite movie is the Wizard of Oz. I used to think it was real when I was young. Whenever I watched it, I felt immersed in the movie. The characters took me away into the Land of Oz. [SEP] One day, I decided to buy the movie."
06d18564-6dcd-4154-aa35-a9f326c2db72,"My favorite movie is the Wizard of Oz. I used to think it was real when I was young. Whenever I watched it, I felt immersed in the movie. The characters took me away into the Land of Oz.",I did not like the Wizard of Oz.,0,2,"My favorite movie is the Wizard of Oz. I used to think it was real when I was young. Whenever I watched it, I felt immersed in the movie. The characters took me away into the Land of Oz. [SEP] I did not like the Wizard of Oz."
4b4eaf85-7b39-489e-a83e-9da41dd23f22,Vince was craving something sweet. Vince did not want his usual dessert of ice cream. Vince drove his car to Yogurtland. Vince got 10 ounces of frozen yogurt.,He shared it with a cute girl he met.,1,1,Vince was craving something sweet. Vince did not want his usual dessert of ice cream. Vince drove his car to Yogurtland. Vince got 10 ounces of frozen yogurt. [SEP] He shared it with a cute girl he met.
4b4eaf85-7b39-489e-a83e-9da41dd23f22,Vince was craving something sweet. Vince did not want his usual dessert of ice cream. Vince drove his car to Yogurtland. Vince got 10 ounces of frozen yogurt.,Vince threw the yogurt away.,0,2,Vince was craving something sweet. Vince did not want his usual dessert of ice cream. Vince drove his car to Yogurtland. Vince got 10 ounces of frozen yogurt. [SEP] Vince threw the yogurt away.
a1ecda1c-7f69-4721-89ae-fb2e6ca9cb2f,"I started playing chess with my friend Tim in 2000. I bought a tournament set and clock. We made plans to go to a tournament, but Tim got sick. I went and won five games.",Tim felt great.,0,1,"I started playing chess with my friend Tim in 2000. I bought a tournament set and clock. We made plans to go to a tournament, but Tim got sick. I went and won five games. [SEP] Tim felt great."
a1ecda1c-7f69-4721-89ae-fb2e6ca9cb2f,"I started playing chess with my friend Tim in 2000. I bought a tournament set and clock. We made plans to go to a tournament, but Tim got sick. I went and won five games.",Tim was happy for me.,1,2,"I started playing chess with my friend Tim in 2000. I bought a tournament set and clock. We made plans to go to a tournament, but Tim got sick. I went and won five games. [SEP] Tim was happy for me."
103b8bac-e6b4-4682-a040-5090410685d1,"Recently, I became very unhappy with my job. I decided to look around for a new one so I would be happy. I applied to many different places. One place called me back and I went for an interview.",I decided to go for a run.,0,1,"Recently, I became very unhappy with my job. I decided to look around for a new one so I would be happy. I applied to many different places. One place called me back and I went for an interview. [SEP] I decided to go for a run."
103b8bac-e6b4-4682-a040-5090410685d1,"Recently, I became very unhappy with my job. I decided to look around for a new one so I would be happy. I applied to many different places. One place called me back and I went for an interview.",I went to the interview and was happy to get the job.,1,2,"Recently, I became very unhappy with my job. I decided to look around for a new one so I would be happy. I applied to many different places. One place called me back and I went for an interview. [SEP] I went to the interview and was happy to get the job."
b0d23a4d-9885-4428-87a5-aef0a58b8928,Ella went out sledding one afternoon. She had fun at first. Then she slipped off the sled. She cut her forehead on a rock in the ground.,Ella had to be taken to the doctor.,1,1,Ella went out sledding one afternoon. She had fun at first. Then she slipped off the sled. She cut her forehead on a rock in the ground. [SEP] Ella had to be taken to the doctor.
b0d23a4d-9885-4428-87a5-aef0a58b8928,Ella went out sledding one afternoon. She had fun at first. Then she slipped off the sled. She cut her forehead on a rock in the ground.,Ella was unscathed from the fall.,0,2,Ella went out sledding one afternoon. She had fun at first. Then she slipped off the sled. She cut her forehead on a rock in the ground. [SEP] Ella was unscathed from the fall.
c56e19f8-ebcb-4986-b474-ddd42dbbdfee,Larry was playing golf with his father. Larry was feeling really energetic from his coffee earlier. He hit the ball as hard as he could on his first swing. Larry got a hole in one!,Larry was mad about his score.,0,1,Larry was playing golf with his father. Larry was feeling really energetic from his coffee earlier. He hit the ball as hard as he could on his first swing. Larry got a hole in one! [SEP] Larry was mad about his score.
c56e19f8-ebcb-4986-b474-ddd42dbbdfee,Larry was playing golf with his father. Larry was feeling really energetic from his coffee earlier. He hit the ball as hard as he could on his first swing. Larry got a hole in one!,Larry was excited  to have scored his first hole in one.,1,2,Larry was playing golf with his father. Larry was feeling really energetic from his coffee earlier. He hit the ball as hard as he could on his first swing. Larry got a hole in one! [SEP] Larry was excited  to have scored his first hole in one.
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time.,Amber enjoyed a relaxing two hour brunch.,0,1,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time. [SEP] Amber enjoyed a relaxing two hour brunch.
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time.,Amber was so hurried she left the list at home.,1,2,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time. [SEP] Amber was so hurried she left the list at home.
c9e0ad92-16a3-4721-b221-bc7a7ea72195,The football team had worked hard all season. They had won every game and made it to the championship. There were only seconds left on the clock and the game was tied. The quarterback through a long pass and the receiver scored.,The crowd booed the team loudly.,0,1,The football team had worked hard all season. They had won every game and made it to the championship. There were only seconds left on the clock and the game was tied. The quarterback through a long pass and the receiver scored. [SEP] The crowd booed the team loudly.
c9e0ad92-16a3-4721-b221-bc7a7ea72195,The football team had worked hard all season. They had won every game and made it to the championship. There were only seconds left on the clock and the game was tied. The quarterback through a long pass and the receiver scored.,The crowd all stood up in their seats and applauded wildly.,1,2,The football team had worked hard all season. They had won every game and made it to the championship. There were only seconds left on the clock and the game was tied. The quarterback through a long pass and the receiver scored. [SEP] The crowd all stood up in their seats and applauded wildly.
1d846682-2dd7-422a-b77f-975ca683ed88,"Jason's best friend is getting married in India next year. Jason decides that he wants to learn Hindi before the wedding. He hires a tutor and practices speaking Hindi every day. When the wedding day arrives, Jason is fluent in Hindi!",Everyone was impressed that Jason had become bilingual.,1,1,"Jason's best friend is getting married in India next year. Jason decides that he wants to learn Hindi before the wedding. He hires a tutor and practices speaking Hindi every day. When the wedding day arrives, Jason is fluent in Hindi! [SEP] Everyone was impressed that Jason had become bilingual."
1d846682-2dd7-422a-b77f-975ca683ed88,"Jason's best friend is getting married in India next year. Jason decides that he wants to learn Hindi before the wedding. He hires a tutor and practices speaking Hindi every day. When the wedding day arrives, Jason is fluent in Hindi!",Jason's best friend was not impressed.,0,2,"Jason's best friend is getting married in India next year. Jason decides that he wants to learn Hindi before the wedding. He hires a tutor and practices speaking Hindi every day. When the wedding day arrives, Jason is fluent in Hindi! [SEP] Jason's best friend was not impressed."
2562c10f-4f6a-4b80-bf78-93ce317ee1ed,"Patricia was spell-bound as soon as she looked into a microscope. She couldn't believe there was another world she couldn't see. Immediately she knew she was going to become a biologist. The next 8 Years, she studied science in school and college.",Patricia realized it was a big mistake.,0,1,"Patricia was spell-bound as soon as she looked into a microscope. She couldn't believe there was another world she couldn't see. Immediately she knew she was going to become a biologist. The next 8 Years, she studied science in school and college. [SEP] Patricia realized it was a big mistake."
2562c10f-4f6a-4b80-bf78-93ce317ee1ed,"Patricia was spell-bound as soon as she looked into a microscope. She couldn't believe there was another world she couldn't see. Immediately she knew she was going to become a biologist. The next 8 Years, she studied science in school and college.",Patricia eventually became a biologist.,1,2,"Patricia was spell-bound as soon as she looked into a microscope. She couldn't believe there was another world she couldn't see. Immediately she knew she was going to become a biologist. The next 8 Years, she studied science in school and college. [SEP] Patricia eventually became a biologist."
